,rank,number,name,location
1288,1289,5047,Charles R. Drew University of Medicine and Science,Los Angeles
1289,1290,5824,Walsh College,Troy
1290,1291,6377,University of Science and Arts of Oklahoma,Chickasha
1291,1292,6655,Huston-Tillotson University,Austin
1292,1293,5072,Holy Names University,Oakland
1293,1294,5321,Covenant College,Lookout Mountain
1294,1295,6761,Vermont Technical College,Randolph
1295,1296,7702,SUNY Delhi,Delhi
1296,1297,5688,Stevenson University,Stevenson
1297,1298,5450,Rockford University,Rockford
1298,1299,5949,Montana State University-Northern,Havre
1299,1300,5583,Tabor College,Hillsboro
1300,1301,6213,Elizabeth City State University,Elizabeth City
1301,1302,5545,Loras College,Dubuque
1302,1303,5903,Evangel University,Springfield
1303,1304,6365,Oklahoma Panhandle State University,Goodwell
1304,1305,6766,Bluefield University,Bluefield
1305,1306,5967,Nebraska Methodist College,Omaha
1306,1307,6108,Medaille University,Buffalo
1307,1308,5575,McPherson College,McPherson
1308,1309,5907,Harris-Stowe State University,St. Louis
1309,1310,5368,The College of Idaho,Caldwell
1310,1311,6404,Warner Pacific University,Portland
1311,1312,5964,Hastings College,Hastings
1312,1313,5360,Wesleyan College,Macon
1313,1314,6803,The University of Virginia's College at Wise,Wise
1314,1315,16838,Georgia Gwinnett College,Lawrenceville
1315,1316,6552,Limestone University,Gaffney
1316,1317,6745,Castleton University,Castleton
1317,1318,6547,Erskine College,Due West
1318,1319,5169,Woodbury University,Burbank
1319,1320,5376,Adler University,Chicago
1320,1321,4947,United States Sports Academy,Daphne
1321,1322,4985,Lyon College,Batesville
1322,1323,5996,Rivier University,Nashua
1323,1324,6314,Mount Vernon Nazarene University,Mount Vernon
1324,1325,16952,Wilmington College,Wilmington
1325,1326,6387,Multnomah University,Portland
1326,1327,6255,Wingate University,Wingate
1327,1328,6355,Oklahoma Wesleyan University,Bartlesville
1328,1329,16922,Thomas Edison State University,Trenton
1329,1330,7290,Great Basin College,Elko
1330,1331,6652,Hardin-Simmons University,Abilene
1331,1332,6877,Milwaukee Institute of Art and Design,Milwaukee
1332,1333,16947,Waldorf University,Forest City
1333,1334,6651,East Texas Baptist University,Marshall
1334,1335,6227,Mars Hill University,Mars Hill
1335,1336,5892,Central Methodist University,Fayette
1336,1337,5577,Newman University,Wichita
1337,1338,5326,Fort Valley State University,Fort Valley
1338,1339,5120,William Jessup University,Rocklin
1339,1340,6203,Belmont Abbey College,Belmont
1340,1341,5724,MGH Institute of Health Professions,Boston
1341,1342,5904,Fontbonne University,St. Louis
1342,1343,11682,The Institute of World Politics,Washington
1343,1344,16870,Monmouth College,Monmouth
1344,1345,6089,Hilbert College,Hamburg
1345,1346,6337,Defiance College,Defiance
1346,1347,6845,Concord University,Athens
1347,1348,5563,William Penn University,Oskaloosa
1348,1349,5463,The Chicago School of Professional Psychology,Los Angeles
1349,1350,4940,Stillman College,Tuscaloosa
1350,1351,7681,Berkeley College,New York City
1351,1352,16908,South College,Knoxville
1352,1353,6689,Texas A&amp;M University-Texarkana,Texarkana
1353,1354,16845,Hodges University,Fort Myers
1354,1355,5926,Southwest Baptist University,Bolivar
1355,1356,6681,Sul Ross State University,Alpine
1356,1357,6856,West Liberty University,West Liberty
1357,1358,16829,East Georgia State College,Swainsboro
1358,1359,5898,Culver-Stockton College,Canton
1359,1360,6243,Shaw University,Raleigh
1360,1361,5349,Reinhardt University,Waleska
1361,1362,7700,Buffalo State College,Buffalo
1362,1363,5073,Hope International University,Fullerton
1363,1364,5336,LaGrange College,LaGrange
1364,1365,6861,West Virginia Wesleyan College,Buckhannon
1365,1366,16868,Midland College,Midland
1366,1367,7267,University of Arkansas - Fort Smith,Fort Smith
1367,1368,6676,Arizona Christian University,Glendale
1368,1369,7698,University of the Potomac,Washington
1369,1370,16841,Gulf Coast State College,Panama City
1370,1371,6202,Barton College,Wilson
1371,1372,16833,Finlandia University,Hancock
1372,1373,5784,College for Creative Studies,Detroit
1373,1374,6348,Ursuline College,Pepper Pike
1374,1375,16848,Indian River State College,Fort Pierce
1375,1376,6841,Alderson Broaddus University,Philippi
1376,1377,5721,Hebrew College,Newton Centre
1377,1378,5921,Ozark Christian College,Joplin
1378,1379,5052,University of Silicon Valley,San Jose
1379,1380,16937,University of Rio Grande,Rio Grande
1380,1381,4935,Miles College,Fairfield
1381,1382,5528,Briar Cliff University,Sioux City
1382,1383,5573,Kansas Wesleyan University,Salina
1383,1384,6542,Coker University,Hartsville
1384,1385,6539,Claflin University,Orangeburg
1385,1386,5235,Goldey-Beacom College,Wilmington
1386,1387,6675,Southwestern Assemblies of God University,Waxahachie
1387,1388,6405,Corban University,Salem
1388,1389,5654,University of Maine at Presque Isle,Presque Isle
1389,1390,5645,Saint Joseph's College of Maine,Standish
1390,1391,16852,Kansas City University,Kansas City
1391,1392,4926,Athens State University,Athens
1392,1393,6654,Howard Payne University,Brownwood
1393,1394,5417,Judson University,Elgin
1394,1395,5957,Clarkson College,Omaha
1395,1396,5945,William Woods University,Fulton
1396,1397,6107,Marymount Manhattan College,New York City
1397,1398,5347,Paine College,Augusta
1398,1399,5101,Palo Alto University,Palo Alto
1399,1400,14934,Landmark College,Putney
1400,1401,16860,Louisiana State University of Alexandria,Alexandria
1401,1402,7683,Cazenovia College,Cazenovia
1402,1403,5785,Concordia University Ann Arbor,Ann Arbor
1403,1404,6166,SUNY College of Optometry,New York City
1404,1405,16814,College of Central Florida,Ocala
1405,1406,6544,"Columbia College, South Carolina",Columbia
1406,1407,5786,Cranbrook Academy of Art,Bloomfield Hills
1407,1408,6072,College of Mount Saint Vincent,The Bronx
1408,1409,5608,Sullivan University,Louisville
1409,1410,6407,University of Western States,Portland
1410,1411,16951,Western Nevada College,Carson City
1411,1412,5258,Edward Waters University,Jacksonville
1412,1413,5783,Cleary University,Howell
1413,1414,7707,Vaughn College of Aeronautics and Technology,Flushing
1414,1415,6613,Maryville College,Maryville
1415,1416,16929,University of Northwestern Ohio,Lima
1416,1417,6608,LeMoyne-Owen College,Memphis
1417,1418,6451,La Roche University,Pittsburgh
1418,1419,5357,Toccoa Falls College,Toccoa Falls
1419,1420,6288,Columbus College of Art and Design,Columbus
1420,1421,6361,Northwestern Oklahoma State University,Alva
1421,1422,16802,Bethel University,Mishawaka
1422,1423,6874,"Marian University, Wisconsin",Fond du Lac
1423,1424,5611,"Union College, Kentucky",Barbourville
1424,1425,6445,Holy Family University,Philadelphia
1425,1426,9104,University of Saint Mary,Leavenworth
1426,1427,6607,Lane College,Jackson
1427,1428,16835,Florida National University,Hialeah
1428,1429,16874,NewSchool of Architecture and Design,San Diego
1429,1430,5854,Northwestern Health Sciences University,Bloomington
1430,1431,6714,The University of Texas Health Science Center at Tyler,Tyler
1431,1432,5091,Mount Saint Mary's University,Los Angeles
1432,1433,16889,Relay Graduate School of Education,New York City
1433,1434,16899,St. Johns River State College,Palatka
1434,1435,4941,Talladega College,Talladega
1435,1436,5097,Notre Dame de Namur University,Belmont
1436,1437,5954,The University of Montana Western,Dillon
1437,1438,6004,Saint Elizabeth University,Morristown
1438,1439,16805,Brazosport College,Lake Jackson
1439,1440,16950,West Virginia University at Parkersburg,Parkersburg
1440,1441,5906,Hannibal-LaGrange University,Hannibal
1441,1442,16828,Dunwoody College of Technology,Minneapolis
1442,1443,16913,Southern Virginia University,Buena Vista
1443,1444,5917,Missouri Valley College,Marshall
1444,1445,5436,National University of Health Sciences,Lombard
1445,1446,6339,Union Institute &amp; University,Cincinnati
1446,1447,11684,Beacon College,Leesburg
1447,1448,12303,Mitchell College,New London
1448,1449,6257,Dickinson State University,Dickinson
1449,1450,16879,Ohio Christian University,Circleville
1450,1451,5218,University of Saint Joseph,West Hartford
1451,1452,6046,Metropolitan College of New York,New York City
1452,1453,16788,Abraham Baldwin Agricultural College,Tifton
1453,1454,16920,The King's College,New York City
1454,1455,6242,Salem College,Winston-Salem
1455,1456,6413,Clarks Summit University,Clarks Summit
1456,1457,5852,North Central University,Minneapolis
1457,1458,16858,Logan University,Chesterfield
1458,1459,5317,Brewton-Parker College,Mount Vernon
1459,1460,6121,New York School of Interior Design,New York City
1460,1461,5843,Martin Luther College,New Ulm
1461,1462,6731,Wiley College,Marshall
1462,1463,16846,Holy Cross College,Notre Dame
1463,1464,16877,Northwest Florida State College,Niceville
1464,1465,16954,Young Harris College,Young Harris
1465,1466,5123,Saybrook University,Pasadena
1466,1467,16912,Southern University Law Center,Baton Rouge
1467,1468,6692,Texas College,Tyler
1468,1469,6592,"Bethel University, Tennessee",McKenzie
1469,1470,6844,Bluefield State University,Bluefield
1470,1471,5646,Thomas College,Waterville
1471,1472,6340,Tiffin University,Tiffin
1472,1473,6873,Maranatha Baptist University,Watertown
1473,1474,6080,Dominican University New York,Orangeburg
1474,1475,5651,University of Maine at Fort Kent,Fort Kent
1475,1476,6237,William Peace University,Raleigh
1476,1477,5712,College of Our Lady of the Elms,Chicopee
1477,1478,6259,Mayville State University,Mayville
1478,1479,5304,Warner University,Lake Wales
1479,1480,6124,Alliance University,New York City
1480,1481,5930,University of Health Sciences and Pharmacy in St. Louis,St. Louis
1481,1482,5565,Barclay College,Haviland
1482,1483,7703,Maryland University of Integrative Health,Laurel
1483,1484,6217,Greensboro College,Greensboro
1484,1485,5977,York University,York
1485,1486,6472,Salus University,Elkins Park
1486,1487,5602,Midway University,Midway
1487,1488,18870,Texas A&amp;M University-San Antonio,San Antonio
1488,1489,5088,Menlo College,Atherton
1489,1490,16810,Centralia College,Centralia
1490,1491,5567,"Bethany College, Kansas",Lindsborg
1491,1492,5952,University of Providence,Great Falls
1492,1493,6603,Johnson University,Knoxville
1493,1494,6639,Amberton University,Garland
1494,1495,7720,Faith Baptist Bible College and Theological Seminary,Ankeny
1495,1496,6152,St. Thomas Aquinas College,Sparkill
1496,1497,5484,Calumet College of St. Joseph,Whiting
1497,1498,6097,LIM College,New York City
1498,1499,16866,Mid-America Christian University,Oklahoma City
1499,1500,6350,Wilberforce University,Wilberforce
1500,1501,5970,"Union College, Nebraska",Lincoln
1501,1502,5514,University of Saint Francis,Fort Wayne
1502,1503,16797,Bacone College,Muskogee
1503,1504,5112,Pardee RAND Graduate School,Santa Monica
1504,1505,5814,Olivet College,Olivet
1505,1506,6244,St Andrews University,Laurinburg
1506,1507,6670,Schreiner University,Kerrville
1507,1508,7728,Cairn University,Langhorne
1508,1509,5652,University of Maine at Machias,Machias
1509,1510,5400,Eureka College,Eureka
1510,1511,6115,New York Academy of Art,New York City
1511,1512,6657,Jarvis Christian University,Hawkins
1512,1513,6846,Davis and Elkins College,Elkins
1513,1514,4951,University of Mobile,Mobile
1514,1515,14915,Boston Graduate School of Psychoanalysis,Brookline
1515,1516,16881,Parker University,Dallas
1516,1517,16840,Gordon State College,Barnesville
1517,1518,5497,Indiana University East,Richmond
1518,1519,16942,University of the West,Rosemead
1519,1520,5213,Holy Apostles College and Seminary,Cromwell
1520,1521,6534,Allen University,Columbia
1521,1522,6479,Penn State College of Medicine,Hershey
1522,1523,5965,Midland University,Fremont
1523,1524,16857,Lincoln College,Lincoln
1524,1525,16895,Roseman University of Health Sciences,Henderson
1525,1526,6270,Art Academy of Cincinnati,Cincinnati
1526,1527,6556,North Greenville University,Tigerville
1527,1528,6857,West Virginia School of Osteopathic Medicine,Lewisburg
1528,1529,5267,Florida Memorial University,Miami Gardens
1529,1530,5818,Siena Heights University,Adrian
1530,1531,5816,Rochester University,Rochester Hills
1531,1532,6554,Morris College,Sumter
1532,1533,6317,Notre Dame College,Cleveland
1533,1534,5305,Webber International University,Babson Park
1534,1535,6117,New York College of Podiatric Medicine,New York City
1535,1536,6030,University of the Southwest,Hobbs
1536,1537,16909,South Georgia State College,Douglas
1537,1538,6848,Glenville State University,Glenville
1538,1539,14941,Everglades University,Boca Raton
1539,1540,5599,Kentucky Wesleyan College,Owensboro
1540,1541,16923,Touro University California,Vallejo
1541,1542,16801,Bethany Lutheran College,Mankato
1542,1543,5125,Simpson University,Redding
1543,1544,5574,Manhattan Christian College,Manhattan
1544,1545,12350,Villa Maria College,Buffalo
1545,1546,6231,University of Mount Olive,Mount Olive
1546,1547,4996,University of the Ozarks,Clarksville
1547,1548,6504,Thiel College,Greenville
1548,1549,5104,Pacifica Graduate Institute,Carpinteria
1549,1550,6578,Mount Marty University,Yankton
1550,1551,5591,Brescia University,Owensboro
1551,1552,5914,Missouri Baptist University,St. Louis
1552,1553,11672,Arkansas Baptist College,Little Rock
1553,1554,6195,Webb Institute,Glen Cove
1554,1555,5130,Marshall B. Ketchum University,Fullerton
1555,1556,6468,Mount Aloysius College,Cresson
1556,1557,5828,Adler Graduate School,Minnetonka
1557,1558,7690,Keystone College,La Plume
1558,1559,11691,Truett McConnell University,Cleveland
1559,1560,5732,Montserrat College of Art,Beverly
1560,1561,11685,Chipola College,Marianna
1561,1562,6042,Albany College of Pharmacy and Health Sciences,Albany
1562,1563,14936,"Sterling College, Vermont",Craftsbury Common
1563,1564,5891,Central Christian College of the Bible,Moberly
1564,1565,7684,Central Penn College,Summerdale
1565,1566,7696,Pennsylvania College of Art and Design,Lancaster
1566,1567,6649,Dallas Christian College,Dallas
1567,1568,6843,Bethany College,Bethany
1568,1569,6312,Mount Carmel College of Nursing,Columbus
1569,1570,5075,Humphreys University,Stockton
1570,1571,14912,Bay State College,Boston
1571,1572,16944,Vermont College of Fine Arts,Montpelier
1572,1573,11687,Florida College,Temple Terrace
1573,1574,16815,College of Coastal Georgia,Brunswick
1574,1575,6208,Chowan University,Murfreesboro
1575,1576,16883,Pensacola State College,Pensacola
1576,1577,16863,Mercy College of Ohio,Toledo
1577,1578,14914,Benjamin Franklin Cummings Institute of Technology,Boston
1578,1579,5879,Rust College,Holly Springs
1579,1580,6060,"The Graduate Center, CUNY",New York City
1580,1581,5501,Indiana University Kokomo,Kokomo
1581,1582,16834,Florida Gateway College,Lake City
1582,1583,5871,Blue Mountain College,Blue Mountain
1583,1584,14920,Fisher College,Boston
1584,1585,5629,University of Holy Cross,New Orleans
1585,1586,16862,Mercy College of Health Sciences,Des Moines
1586,1587,4987,Philander Smith College,Little Rock
1587,1588,6852,Salem University,Salem
1588,1589,5587,Alice Lloyd College,Pippa Passes
1589,1590,5663,Washington Adventist University,Takoma Park
1590,1591,16792,Appalachian College of Pharmacy,Oakwood
1591,1592,5476,VanderCook College of Music,Chicago
1592,1593,6515,University of Valley Forge,Phoenixville
1593,1594,5384,Blackburn College,Carlinville
1594,1595,14924,Massachusetts School of Law,Andover
1595,1596,5324,"Emmanuel College, Georgia",Franklin Springs
1596,1597,6612,The University of Tennessee Southern,Pulaski
1597,1598,6842,Appalachian Bible College,Mount Hope
1598,1599,5294,Trinity College of Florida,Trinity
1599,1600,6056,"Baruch College, CUNY",New York City
1600,1601,6625,Tennessee Wesleyan University,Athens
1601,1602,6226,Livingstone College,Salisbury
1602,1603,5102,Pacific Oaks College,Pasadena
1603,1604,7725,Lincoln Christian University,Lincoln
1604,1605,6304,Lake Erie College,Painesville
1605,1606,5061,Dominican School of Philosophy &amp; Theology,Berkeley
1606,1607,6621,Southern College of Optometry,Memphis
1607,1608,16873,Nevada State College,Henderson
1608,1609,5191,Nazarene Bible College,Colorado Springs
1609,1610,9133,Kettering College,Kettering
1610,1611,5385,Blessing-Rieman College of Nursing and Health Sciences,Quincy
1611,1612,7695,Peirce College,Philadelphia
1612,1613,5407,Illinois College of Optometry,Chicago
1613,1614,16822,Cottey College,Nevada
1614,1615,6389,Bushnell University,Eugene
1615,1616,16809,Central Christian College of Kansas,McPherson
1616,1617,15135,Donnelly College,Kansas City
1617,1618,5815,Kuyper College,Grand Rapids
1618,1619,4956,Alaska Bible College,Palmer
1619,1620,7713,American Baptist College,Nashville
1620,1621,6239,Carolina University,Winston Salem
1621,1622,4968,The School of Architecture,Paradise Valley
1622,1623,5735,New England College of Optometry,Boston
1623,1624,16824,Criswell College,Dallas
1624,1625,16812,Cleveland University-Kansas City,Overland Park
1625,1626,5509,Oakland City University,Oakland City
1626,1627,16886,Presentation College,Aberdeen
1627,1628,18479,Dharma Realm Buddhist University,Ukiah
1628,1629,5446,Principia College,Elsah
1629,1630,16823,Cox College,Springfield
1630,1631,7688,Pontifical Faculty of the Immaculate Conception,Washington
1631,1632,16790,Allen College,Waterloo
1632,1633,5311,Point University,West Point
1633,1634,6058,The City College of New York,New York City
1634,1635,6416,Bryn Athyn College,Bryn Athyn
1635,1636,6600,Welch College,Gallatin
1636,1637,16851,John Paul the Great Catholic University,Escondido
1637,1638,5998,Thomas More College of Liberal Arts,Merrimack
1638,1639,5597,Kentucky Christian University,Grayson
1639,1640,5356,Thomas University,Thomasville
1640,1641,4962,University of Alaska Southeast,Juneau
1641,1642,16918,The College of Westchester,White Plains
1642,1643,4997,Williams Baptist University,Walnut Ridge
1643,1644,5537,Emmaus Bible College,Dubuque
1644,1645,16875,Magdalen College of the Liberal Arts,Warner
1645,1646,6441,Gratz College,Melrose Park
1646,1647,7689,Five Towns College,Dix Hills
1647,1648,5797,Grace Christian University,Wyoming
1648,1649,12339,Northern New Mexico College,Espanola
1649,1650,16926,United States University,San Diego
1650,1651,5048,San Diego Christian College,Santee
1651,1652,6062,John Jay College of Criminal Justice,New York City
1652,1653,5889,Calvary University,Kansas City
1653,1654,6294,God's Bible School and College,Cincinnati
1654,1655,16854,Laguna College of Art and Design,Laguna Beach
1655,1656,7686,Davis College,Johnson City
1656,1657,16795,Atlanta Metropolitan State College,Atlanta
1657,1658,5367,University of Hawaii-West Oahu,Kapolei
1658,1659,5119,San Joaquin College of Law,Clovis
1659,1660,16821,Columbia College Hollywood,Tarzana
1660,1661,6264,Trinity Bible College,Ellendale
1661,1662,12349,Franciscan Missionaries of Our Lady University,Baton Rouge
1662,1663,15138,Trocaire College,Buffalo
1663,1664,5000,American Film Institute Conservatory,Los Angeles
1664,1665,16793,"Aquinas College, Tennessee",Nashville
1665,1666,16799,Goldfarb School of Nursing at Barnes-Jewish College,St. Louis
1666,1667,7737,Life Pacific University,San Dimas
1667,1668,16798,Baptist Health Sciences University,Memphis
1668,1669,4980,Central Baptist College,Conway
1669,1670,5781,Michigan School of Psychology,Farmington Hills
1670,1671,16893,Rocky Vista University,Parker
1671,1672,16907,Sofia University,Palo Alto
1672,1673,6051,Boricua College,New York City
1673,1674,11683,The Baptist College of Florida,Graceville
1674,1675,7724,The King's University,Southlake
1675,1676,14922,Labour&eacute; College,Milton
1676,1677,16856,Lakeview College of Nursing,Danville
1677,1678,5477,Oak Point University,Chicago
1678,1679,5369,Boise Bible College,Boise
1679,1680,16892,Rocky Mountain University of Health Professions,Provo
1680,1681,7721,Great Lakes Christian College,Lansing
1681,1682,15137,Maria College,Albany
1682,1683,16807,Bryan College of Health Sciences,Lincoln
1683,1684,5397,East-West University,Chicago
1684,1685,7727,Oak Hills Christian College,Bemidji
1685,1686,16867,Middle Tennessee School of Anesthesia,Madison
1686,1687,7716,Clear Creek Baptist Bible College,Pineville
1687,1688,6066,"Queens College, City University of New York",New York City
1688,1689,16882,Pennsylvania College of Health Sciences,Lancaster
1689,1690,7717,College of Biblical Studies,Houston
1690,1691,6036,"Southwestern College, Santa Fe",Santa Fe
1691,1692,16849,Jamestown Business College,Jamestown
1692,1693,4932,Heritage Christian University,Florence
1693,1694,14917,Conway School of Landscape Design,Northampton
1694,1695,6241,Mid-Atlantic Christian University,Elizabeth City
1695,1696,6641,Arlington Baptist University,Arlington
1696,1697,9106,The Wright Institute,Berkeley
1697,1698,6372,Southwestern Christian University,Bethany
1698,1699,6864,Bellin College,Green Bay
1699,1700,5508,Martin University,Indianapolis
1700,1701,16897,Saint Augustine College,Chicago
1701,1702,7732,Pillar College,Newark
1702,1703,5887,Baptist Bible College,Springfield
1703,1704,5161,The University of West Los Angeles,Inglewood
1704,1705,6065,"New York City College of Technology, CUNY",Brooklyn
1705,1706,16946,Wade College,Dallas
1706,1707,4960,University of Alaska Anchorage,Anchorage
1707,1708,6068,"York College, City University of New York",Jamaica
1708,1709,7714,Baptist University of the Americas,San Antonio
1709,1710,7715,Beulah Heights University,Atlanta
1710,1711,5423,Lake Forest Graduate School of Management,Lake Forest
1711,1712,16884,Plaza College,New York City
1712,1713,7719,Ecclesia College,Springdale
1713,1714,5762,Westfield State University,Westfield
1714,1715,16925,Trinity College of Nursing &amp; Health Sciences,Rock Island
1715,1716,16825,Crowley's Ridge College,Paragould
1716,1717,5929,St. Louis Christian College,Florissant
1717,1718,16864,Methodist College,Peoria
1718,1719,16839,Good Samaritan College of Nursing and Health Science,Cincinnati
1719,1720,6381,New Hope Christian College,Eugene
1720,1721,16843,Helene Fuld College of Nursing,New York City
1721,1722,7736,Bethesda University,Anaheim
1722,1723,16827,Denver College of Nursing,Denver
1723,1724,7709,WON Institute of Graduate Studies,Warminster
1724,1725,16890,Research College of Nursing,Kansas City
1725,1726,7735,Northpoint Bible College,Haverhill
1726,1727,16887,Providence Christian College,Pasadena
1727,1728,16891,Richmont Graduate University,Chattanooga
1728,1729,18367,Indiana University Fort Wayne,Fort Wayne
1729,1730,5650,University of Maine at Farmington,Farmington
1730,1731,7733,Southeastern Baptist College,Laurel
1731,1732,7734,Tri-State Bible College,South Point
1732,1733,6059,College of Staten Island,Staten Island
1733,1734,5452,Rush University,Chicago
1734,1735,16953,Wisconsin School of Professional Psychology,Milwaukee
1735,1736,6067,CUNY School of Law,Long Island City
1736,1737,6064,Medgar Evers College,Brooklyn
1737,0,16896,Saint Anthony College of Nursing,Rockford
1738,0,16808,Cabarrus College of Health Sciences,Concord
1739,0,16919,Geisinger Commonwealth School of Medicine,Scranton
1740,0,15114,Irell and Manella Graduate School of Biological Sciences,Duarte
1741,0,5005,Antioch University Santa Barbara,Santa Barbara
1742,0,5004,Antioch University Los Angeles,Culver City
1743,0,5982,Antioch University New England,Keene
1744,0,5460,Saint Francis Medical Center College of Nursing,Peoria
1745,0,6813,Antioch University Seattle,Seattle
1746,0,6331,Ohio University Southern,Ironton
1747,0,6328,Ohio University-Chillicothe,Chillicothe
1748,0,6666,Paul Quinn College,Dallas
