,rank,number,name,location
436,437,6170,SUNY Upstate Medical University,Syracuse
437,438,6897,University of Wisconsin-Whitewater,Whitewater
438,439,6890,University of Wisconsin-Oshkosh,Oshkosh
439,440,6730,West Texas A&amp;M University,Canyon
440,441,5093,National University,La Jolla
441,442,5624,Loyola University New Orleans,New Orleans
442,443,6739,Utah Valley University,Orem
443,444,5366,University of Hawaii at Manoa,Honolulu
444,445,6895,University of Wisconsin-Stout,Menomonie
445,446,5623,Louisiana Tech University,Ruston
446,447,6437,Franklin and Marshall College,Lancaster
447,448,5261,Florida Agricultural and Mechanical University,Tallahassee
448,449,6178,State University of New York at New Paltz,New Paltz
449,450,5513,Rose-Hulman Institute of Technology,Terre Haute
450,451,5355,University of West Georgia,Carrollton
451,452,5007,ArtCenter College of Design,Pasadena
452,453,6697,Texas Tech University Health Sciences Center,Lubbock
453,454,6680,Stephen F. Austin State University,Nacogdoches
454,455,6017,Stockton University,Galloway
455,456,6829,Seattle Pacific University,Seattle
456,457,4954,University of South Alabama,Mobile
457,458,5341,Mercer University,Macon
458,459,5049,Claremont Graduate University,Claremont
459,460,6156,SUNY Cortland,Cortland
460,461,6005,Drew University,Madison
461,462,5771,Andrews University,Berrien Springs
462,463,5569,Emporia State University,Emporia
463,464,6686,Texas A&amp;M University-Corpus Christi,Corpus Christi
464,465,5801,Hope College,Holland
465,466,5210,Fairfield University,Fairfield
466,467,5288,Rollins College,Winter Park
467,468,4937,Samford University,Birmingham
468,469,5473,University of Illinois at Springfield,Springfield
469,470,4943,Troy University,Troy
470,471,6865,Beloit College,Beloit
471,472,4994,University of Arkansas for Medical Sciences,Little Rock
472,473,6839,Whitman College,Walla Walla
473,474,5248,Strayer University,Washington
474,475,5840,Hamline University,Saint Paul
475,476,5655,University of New England,Biddeford
476,477,5021,California Institute of the Arts,Valencia
477,478,6591,Belmont University,Nashville
478,479,6185,The Cooper Union for the Advancement of Science and Art,New York City
479,480,5359,Valdosta State University,Valdosta
480,481,5342,Morehouse College,Atlanta
481,482,6526,Johnson and Wales University,Providence
482,483,5882,University of Mississippi Medical Center,Jackson
483,484,5050,Claremont McKenna College,Claremont
484,485,5934,Truman State University,Kirksville
485,486,6290,Denison University,Granville
486,487,6354,Youngstown State University,Youngstown
487,488,6794,Regent University,Virginia Beach
488,489,6188,Touro University,New York City
489,490,6453,Lafayette College,Easton
490,491,6635,Sewanee: The University of the South,Sewanee
491,492,5229,University of Hartford,West Hartford
492,493,5995,Plymouth State University,Plymouth
